poly_chemprop_input,lamellar,cylinder,sphere,gyroid,disordered
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,0,0,0,0,1
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,1,0,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,1,0,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,1,0,0,0,0
[*:1]CC(c1ccccc1)[*:2].[*:3]CC(C)(C(=O)OCCCC)[*:4]|1|1|<1-2:0.5:0.5<1-1:0.5:0.5<2-2:0.5:0.5<3-4:0.5:0.5<3-3:0.5:0.5<4-4:0.5:0.5~1.0,1,0,0,0,0
[*:1]CCO[*:2].[*:3]C\C=C(C)/C[*:4].[*:5]C\C=C(C)\C[*:6].[*:7]CC(C(C)=C)[*:8].[*:9]CC(C)(C=C)[*:10]|1|1|1|1|1|<1-2:1.0:1.0<3-3:0.125:0.125<4-4:0.125:0.125<5-5:0.125:0.125<6-6:0.125:0.125<7-7:0.125:0.125<8-8:0.125:0.125<9-9:0.125:0.125<10-10:0.125:0.125<3-4:0.125:0.125<3-5:0.125:0.125<3-6:0.125:0.125<3-7:0.125:0.125<3-8:0.125:0.125<3-9:0.125:0.125<3-10:0.125:0.125<4-5:0.125:0.125<4-6:0.125:0.125<4-7:0.125:0.125<4-8:0.125:0.125<4-9:0.125:0.125<4-10:0.125:0.125<5-6:0.125:0.125<5-7:0.125:0.125<5-8:0.125:0.125<5-9:0.125:0.125<5-10:0.125:0.125<6-7:0.125:0.125<6-8:0.125:0.125<6-9:0.125:0.125<6-10:0.125:0.125<7-8:0.125:0.125<7-9:0.125:0.125<7-10:0.125:0.125<8-9:0.125:0.125<8-10:0.125:0.125<9-10:0.125:0.125~1.0,1,0,0,0,0
[*:1]CCO[*:2].[*:3]C\C=C(C)/C[*:4].[*:5]C\C=C(C)\C[*:6].[*:7]CC(C(C)=C)[*:8].[*:9]CC(C)(C=C)[*:10]|1|1|1|1|1|<1-2:1.0:1.0<3-3:0.125:0.125<4-4:0.125:0.125<5-5:0.125:0.125<6-6:0.125:0.125<7-7:0.125:0.125<8-8:0.125:0.125<9-9:0.125:0.125<10-10:0.125:0.125<3-4:0.125:0.125<3-5:0.125:0.125<3-6:0.125:0.125<3-7:0.125:0.125<3-8:0.125:0.125<3-9:0.125:0.125<3-10:0.125:0.125<4-5:0.125:0.125<4-6:0.125:0.125<4-7:0.125:0.125<4-8:0.125:0.125<4-9:0.125:0.125<4-10:0.125:0.125<5-6:0.125:0.125<5-7:0.125:0.125<5-8:0.125:0.125<5-9:0.125:0.125<5-10:0.125:0.125<6-7:0.125:0.125<6-8:0.125:0.125<6-9:0.125:0.125<6-10:0.125:0.125<7-8:0.125:0.125<7-9:0.125:0.125<7-10:0.125:0.125<8-9:0.125:0.125<8-10:0.125:0.125<9-10:0.125:0.125~1.0,1,0,0,0,0
